ID,RAYON_CITY,RAYON,REPUB_KRAI,rayon_name,rayon,GOV_FIRE,g1_02,CENT_LAT,CENT_LON,govfire,GOV,govplus2,loggovplus2,GOV2,REB,rebplus2,logrebplus2,ELF,HET,POP,OIL,ELEVATION,RUSSIAN,FOREST,elf,num,polarize,Dominance,PROTEST,BLOODFEUD,EVNT_CNT,POP2001_02,EVNT1000,CHECH_DV,URB_AREA,PCT_URB,ELEV_MEAN,SH_RUSSIAN,PCT_FRST,DIST_TOHWY,LNEVNT1000
90,NAZRAN,90,Ingushetia,,,,,4785979.49,481822.33,,641,643,2.808210973,64,214,216,2.334453751,0.237843,0.39491798,363.3376623,0.324675325,1270.831169,0,0.324675325,0.237843,3,0,3,162,6,233,122066,1.9088,0,8680000,42.63,521.74,0,0,1.418,0.6517
91,Neftekumskiy,91,Stavropol Krai,,,,,4939150.64,510038.5,,13,15,1.176091259,13,11,13,1.113943352,0.668883,0.176655239,119.3846154,1,64.92307692,0.692307692,0,0.668883,12,0.799448916,1,0,0,23,70902,0.3244,0,17890000,0.47,51.26,53.97,0,144.795,-1.09542
92,NEVINNOMYSSK,92,Stavropol Krai,,,,,4947343.28,257624.3,,0,2,0.301029996,0,2,4,0.602059991,0.185298,0.480274433,2242.75,1,326.25,1,0,0.185298,12,0.359222112,3,0,0,7,132141,0.053,0,25410000,34.95,330.79,90.24,2.083333333,2.369,-2.76462
93,Nogayskiy,93,Dagestan,,,,,4921472.13,574039.58,,27,29,1.462397998,27,19,21,1.322219295,0.258322,0.327313278,34.2,0.783333333,20.15,0.766666667,0,0.258322,9,0,3,3,0,4,21685,0.1845,0,1450000,0.02,7.8,1.18,0.05236516,123.332,-1.63732
94,Novoaleksandrovskiy,94,Stavropol Krai,,,,,5042405.04,200888.93,,1,3,0.477121255,1,2,4,0.602059991,0.214944,0.458591686,96.72727273,0.909090909,135.2272727,1,0.045454545,0.214944,10,0,3,0,0,3,67065,0.0447,0,38460000,1.9,147.58,88.54,2.681992337,86.35,-2.90589
95,Novolakskiy,95,Dagestan,,,,,4780929.13,620654.77,,22,24,1.380211242,22,6,8,0.903089987,0.649237,0.124421996,46.28571429,1,308.2857143,0,0.214285714,0.649237,12,0.863907348,1,1,0,61,22019,2.7703,0,30000,0.02,359.6,0.18,9.090909091,7.682,1.02256
96,Novoselitskiy,96,Stavropol Krai,,,,,4955351.01,379314.88,,26,28,1.447158031,26,20,22,1.342422681,0.403741,0.34297399,74.2,0.6,203,1,0,0.403741,12,0.624220548,2,2,1,0,26613,0,0,38420000,2.34,228.33,76.85,0.279850746,63.449,-4.60517
97,Nozhay-Yurtovskiy,97,Chechnya,,,,,4765949.09,609052.43,,572,574,2.758911892,57,144,146,2.164352856,0.021824,0.850732708,4.846153846,1,600.0384615,0,0.913461538,0.021824,8,0,3,13,1,672,24000,28,1,1890000,0.27,796.62,0,70.26431718,23.809,3.33256
98,Petrovskiy,98,Stavropol Krai,,,,,5017239.26,329253.53,,4,6,0.77815125,4,4,6,0.77815125,0.127321,0.63714494,224.92,0.88,207.52,1,0,0.127321,11,0,3,0,0,0,82449,0,0,39690000,1.45,244.4,93.36,0.567859171,90.407,-4.60517
99,Pravoberezhnyy,99,North Ossetia,,,,,4790877.56,461034.26,,38,40,1.602059991,38,53,55,1.740362689,0.234156,0.327186897,538,1,496.4615385,0,0.153846154,0.234156,8,0,3,10,3,9,55685,0.1616,0,35870000,8.1,520.25,9.4,8.013937282,5.627,-1.76259
100,Predgornyy,100,Stavropol Krai,,,,,4879341.11,323103.95,,30,32,1.505149978,30,21,23,1.361727836,0.494973,0.152111166,141.8428571,0,634.0714286,0.957142857,0,0.494973,12,0.729340372,2,2,1,4,104391,0.0383,0,41750000,2.06,744.35,68.88,2.803030303,23.36,-3.03032
101,Prigorodnyy,101,North Ossetia,,,,,4757414.66,469442.79,,42,44,1.643452676,42,15,17,1.230448921,0.472708,0.249466201,326.1071429,0.267857143,966.875,0.017857143,0.232142857,0.472708,8,0,2,11,0,37,102990,0.3593,0,28860000,2.03,1255.21,10.76,54.52562704,24.664,-0.99615
102,Prikubanskiy,102,Karachaevo-Cherkessia,,,,,4901266.64,280126.48,,44,46,1.662757832,44,13,15,1.176091259,0.6198,0.265737837,102.1714286,0.142857143,656.1714286,0.857142857,0.057142857,0.6198,8,0,1,8,0,1,35547,0.0281,0,4060000,0.38,650.66,18.67,0.429799427,34.45,-3.26754
103,Prokhladnenskiy,103,Kabardino-Balkaria,,,,,4853784.67,419445.43,,174,176,2.245512668,17,36,38,1.579783597,0.596043,0.150048957,162.4130435,0.934782609,235.4782609,0.97826087,0.086956522,0.596043,9,0,1,6,4,2,46425,0.0431,0,28790000,2.16,232.19,57.23,0.463499421,38.319,-2.93558
104,PROKHLADNYY,104,Kabardino-Balkaria,,,,,4845513.21,422360.14,,174,176,2.245512668,17,36,38,1.579783597,0.596043,0.150048957,162.4130435,0.934782609,235.4782609,0.97826087,0.086956522,0.596043,9,0,1,6,4,1,61772,0.0162,0,10040000,38.02,208.24,79.07,0,35.1,-3.642
105,PYATIGORSK,105,Stavropol Krai,,,,,4878337.4,343623.95,,25,27,1.431363764,25,29,31,1.491361694,0.717786,0.342794135,1807.111111,0,541.5555556,1,0.333333333,0.717786,12,0.890869904,1,2,1,19,204371,0.093,0,34670000,43.51,562.56,52.41,11.76470588,2.387,-2.27303
106,Rutulskiy,106,Dagestan,,,,,4615261.58,682473.62,,2,4,0.602059991,2,0,2,0.301029996,0.590089,0.120690304,77.02173913,0,1924.5,0,0.304347826,0.590089,12,0.756671044,2,0,0,1,23503,0.0425,0,0,0,2636.31,0.79,12.5445474,141.225,-2.94694
107,Sergokalinskiy,107,Dagestan,,,,,4694185.47,717974.16,,9,11,1.041392685,9,4,6,0.77815125,0.011946,0.954310321,299.8387097,1,975.1612903,0,0.096774194,0.011946,11,0,3,0,0,6,29665,0.2023,0,1580000,0.29,893.83,0.27,55.3008596,60.86,-1.54975
108,Shamilskiy,108,Dagestan,,,,,4694606.32,625213.87,,1,3,0.477121255,1,0,2,0.301029996,0.003989,1.254491328,32.11320755,0,1523.113208,0,0.490566038,0.003989,8,0,3,0,0,2,26053,0.0768,0,0,0,2069.65,0.06,30.60869565,90.141,-2.44415
109,Sharoyskiy,109,Chechnya,,,,,4716585.84,552327.52,,1.00E-10,2,0.301029996,1.00E-10,1.00E-10,2,0.301029996,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,0.00E+00,1.00E-10,1.00E-10,29,22200,1.3063,1,0,0,2386.06,0,49.60212202,66.521,0.27482
110,Shatoyskiy,110,Chechnya,,,,,4738139.6,561654.52,,369,371,2.56937391,37,96,98,1.991226076,0.443838,0.17679438,10.4695122,0.018292683,1137.97561,0,0.792682927,0.443838,8,0,2,11,1,453,11000,41.1818,1,0,0,1430.01,0,79.60741549,44.769,3.71824
111,Shelkovskiy,111,Chechnya,,,,,4839848.41,592689.37,,83,85,1.929418926,83,29,31,1.491361694,0.422738,0.383434059,209.2173913,0.52173913,22.63043478,0.543478261,0.086956522,0.422738,8,0,2,0,0,242,35489,6.819,1,15160000,0.51,26.5,0,1.134020619,42.805,1.92118
112,Shpakovskiy,112,Stavropol Krai,,,,,4989204.64,266033.66,,20,22,1.342422681,20,10,12,1.079181246,0.269535,0.300879713,134.25,0.916666667,403.5625,1,0.020833333,0.269535,12,0.485866884,3,5,0,5,108717,0.046,0,24860000,1.08,401.17,85.21,2.214765101,38.444,-2.8824
113,STAVROPOL,113,Stavropol Krai,,,,,4993841.9,254847.58,,21,23,1.361727836,21,14,16,1.204119983,0.211018,0.378443256,5858,1,588,1,0.5,0.211018,12,0.39013524,3,15,0,28,355066,0.0789,0,32870000,11.58,468.18,88.68,18.57923497,37.724,-2.42024
114,Stepnovskiy,114,Stavropol Krai,,,,,4901556.62,464108.29,,37,39,1.591064607,37,34,36,1.556302501,0.556269,0.215208262,36.28787879,0.727272727,156.469697,1,0,0.556269,12,0.706982708,2,2,0,2,23315,0.0858,0,26230000,1.38,154.22,65.06,0,98.773,-2.34549
115,Suleyman-Stalskiy,115,Dagestan,,,,,4619328.71,761424.74,,4,6,0.77815125,4,0,2,0.301029996,0.007971,1.038415107,244.7291667,0.479166667,602.5625,0,0.020833333,0.007971,11,0,3,0,0,2,54036,0.037,0,2470000,0.39,679.08,0.19,24.38423645,145.606,-3.05761
116,Tabasaranskiy,116,Dagestan,,,,,4645811.67,752115.23,,8,10,1,8,3,5,0.698970004,0.29111,0.13296091,140.4487179,0.935897436,793.3076923,0,0.038461538,0.29111,12,0.559996208,2,0,0,0,54732,0,0,0,0,657.5,0.1,31.90661479,117.566,-4.60517
117,Tarumovskiy,117,Dagestan,,,,,4919110.63,627656.24,,26,28,1.447158031,26,17,19,1.278753601,0.784036,0.20130339,117.3666667,0.066666667,-15.8,0.866666667,0,0.784036,12,0.676277032,1,0,0,3,28587,0.1049,0,4800000,0.16,-21.92,25.1,0,125.392,-2.16369
118,Terskiy,118,Kabardino-Balkaria,,,,,4822452.22,440598.91,,24,26,1.414973348,24,5,7,0.84509804,0.245311,0.384532201,345.5588235,1,228.8823529,0.441176471,0.058823529,0.245311,9,0,3,0,0,2,52976,0.0378,0,39580000,4.38,275.34,6.2,2.044293015,25.914,-3.04073
119,Tlyaratinskiy,119,Dagestan,,,,,4659669.34,618211.56,,2,4,0.602059991,2,0,2,0.301029996,0.017861,0.778311574,27.82291667,0,1950.28125,0,0.614583333,0.017861,11,0,3,0,0,0,22108,0,0,0,0,2596.45,0.66,34.15326395,122.896,-4.60517
120,Trunovskiy,120,Stavropol Krai,,,,,5048994.68,270489.75,,14,16,1.204119983,14,1,3,0.477121255,0.284907,0.379805183,31.81578947,1,132.2894737,1,0,0.284907,12,0.50013474,3,0,0,0,35403,0,0,33630000,2,151.1,84.35,0.830258303,95.048,-4.60517
121,Tsumadinskiy,121,Dagestan,,,,,4700544.05,585196.51,,4,6,0.77815125,4,1,3,0.477121255,0.017875,0.834446033,23.60784314,0,1708.764706,0,0.215686275,0.017875,10,0,3,0,0,20,20632,0.9694,0,0,0,2304.89,0.56,35.0631136,83.945,-0.02082
122,Tsuntinskiy,122,Dagestan,,,,,4671222.09,578345.12,,8,10,1,8,6,8,0.903089987,0.031593,0.715429342,17.59677419,0,1908.677419,0,0.435483871,0.031593,9,0,3,0,0,5,17466,0.2863,0,0,0,2334.44,1.19,49.12891986,111.647,-1.21638
123,Turkmenskiy,123,Stavropol Krai,,,,,5035467.18,387218,,36,38,1.579783597,36,14,16,1.204119983,0.558049,0.426680318,45.2,1,149.3333333,0.833333333,0,0.558049,12,0.852668124,2,3,1,0,28045,0,0,39490000,1.53,161.19,66.33,0.119189511,133.723,-4.60517
124,Untsukulskiy,124,Dagestan,,,,,4727818.5,651590.43,,37,39,1.591064607,37,8,10,1,0.058927,0.771579134,41.15,0,1129.4,0,0,0.058927,11,0,3,0,0,9,27460,0.3277,0,0,0,1246.29,0.46,28.61271676,49.804,-1.0856
125,Urupskiy,125,Karachaevo-Cherkessia,,,,,4854620.74,180201.81,,1,3,0.477121255,1,1,3,0.477121255,0.400896,0.215418554,49.93333333,0,1037.1,0.3,0.866666667,0.400896,8,0,2,0,0,2,18654,0.1072,0,5610000,0.2,1687.67,76.74,66.66666667,118.304,-2.14387
126,Urus-Martanovskiy,126,Chechnya,,,,,4770664.28,543743.21,,375,377,2.57634135,38,101,103,2.012837225,0.007978,1.278909505,375.4857143,0.971428571,299.2857143,0,0.4,0.007978,7,0,3,10,0,479,54147,8.8463,1,23910000,3.77,405.82,0,41.84914842,15.076,2.18113
127,Urvanskiy,127,Kabardino-Balkaria,,,,,4805419.55,408783.36,,21,23,1.361727836,21,11,13,1.113943352,0.366139,0.274216347,275.8529412,0.264705882,404.2352941,0.058823529,0.176470588,0.366139,9,0,2,6,0,2,104126,0.0192,0,56100000,5.73,529.97,11.23,30.66037736,10.289,-3.53359
128,Ust-Dzhegutinskiy,128,Karachaevo-Cherkessia,,,,,4872786.28,265109.51,,7,9,0.954242509,7,1,3,0.477121255,0.563402,0.193886242,269.9411765,0,766.7647059,0.705882353,0.058823529,0.563402,8,0,2,0,0,7,52196,0.1341,0,12870000,1.32,1168.73,24.83,9.247648903,66.186,-1.93725
129,Vedenskiy,129,Chechnya,,,,,4751383.55,586618.83,,814,816,2.911690159,81,207,209,2.320146286,0.029667,0.800020477,76.95945946,0.864864865,784.3783784,0,0.918918919,0.029667,7,0,3,10,7,1084,19697,55.0338,1,5890000,0.62,1231.63,0,74.95961228,36.294,4.00813
130,VLADIKAVKAZ,130,North Ossetia,,,,,4752298.7,470672.83,,39,41,1.612783857,39,26,28,1.447158031,0.565474,0.173470885,497.5384615,0,908.5384615,0,0.384615385,0.565474,8,0,2,9,3,64,332650,0.1924,0,30920000,10.9,1246.08,27.14,59.44444444,27.872,-1.59751
131,YESSENTUKI,131,Stavropol Krai,,,,,4879251.52,328939.46,,4,6,0.77815125,4,2,4,0.602059991,0.363873,0.337150097,2000,0,649.8,1,0,0.363873,12,0.579334076,2,0,0,12,81758,0.1468,0,16830000,27.28,635.54,79.32,0,14.757,-1.85278
132,Zelenchukskiy,132,Karachaevo-Cherkessia,,,,,4843493.36,215860.74,,5,7,0.84509804,5,1,3,0.477121255,0.485782,0.139554506,86.76,0,1100.56,0.48,0.56,0.485782,8,0,2,0,0,40,53414,0.7489,0,58140000,1.95,1688.23,65.04,40.26984951,111.895,-0.27589
133,ZHELEZNOVODSK,133,Stavropol Krai,,,,,4886166.74,346389.48,,2,4,0.602059991,2,0,2,0.301029996,0.284838,0.337221809,1697.285714,0,492,1,0.285714286,0.284838,12,0.493516536,3,0,0,1,52245,0.0191,0,8230000,9.16,526.73,84.25,50.84745763,3.466,-3.53702
134,Zolskiy,134,Kabardino-Balkaria,,,,,4837577.36,327836.41,,7,9,0.954242509,7,3,5,0.698970004,0.170583,0.424882728,190.3809524,0,776.7142857,0,0,0.170583,9,0,3,0,0,0,50634,0,0,28850000,1.37,1638.93,2.25,6.985294118,38.056,-4.60517
135,Sovetskiy,135,Stavropol Krai,,,,,4910168.89,414863.26,,12,14,1.146128036,12,10,12,1.079181246,0.226456,0.511619007,168.1627907,0.511627907,169.2325581,1,0,0.226456,12,0.429505648,3,0,0,2,72762,0.0275,0,49850000,2.37,197.76,87.86,0.294117647,64.278,-3.28341
136,Shalinskiy,136,Chechnya,,,,,4776426.56,572430.33,,496,498,2.697229343,50,126,128,2.10720997,0.003993,1.350491328,557.7222222,1,249.7222222,0,0.333333333,0.003993,4,0,3,14,6,642,54208,11.8433,1,11900000,2.03,343.78,0,38.58267717,10.504,2.47261
137,Kurchaloyevsky,137,Chechnya,,,,,4784514.48,591671.06,,414,416,2.619093331,41,101,103,2.012837225,0.007974,1.110415107,931.8181818,1,168,0,0,0.007974,8,0,3,24,0,596,59368,10.0391,1,18500000,4.91,259.11,0,32.11382114,9.695,2.30748
138,Sunzhenskiy (Chech),138,Chechnya,,,,,4792745.16,512766.05,,405,407,2.609594409,41,94,96,1.982271233,0.520405,0.209700929,259.4745763,1,799.5762712,0.203389831,0.745762712,0.520405,4,0,1,32,3,209,12700,16.4567,1,7690000,2.71,325.02,0,6.593406593,5.379,2.80134
139,Sunzhenskiy (Ingush),139,Ingushetia,,,,,4778125.49,502543.71,,405,407,2.609594409,41,94,96,1.982271233,0.520405,0.209700929,259.4745763,1,799.5762712,0.203389831,0.745762712,0.520405,4,0,1,32,3,160,93528,1.7107,0,15140000,1.11,820.17,0,61.92090395,21.975,0.54273
140,Gudermes,140,Chechnya,,,,,4800223.34,589006.66,,332,334,2.523746467,33,104,106,2.025305865,0.119881,0.493931407,1631.666667,1,52.33333333,1,0,0.119881,7,0,3,17,2,291,33578,8.6664,1,12360000,97.87,59.44,0,0,1.003,2.16061
141,Urus-Martan,141,Chechnya,,,,,4775747.78,543512.47,,556,558,2.746634199,56,129,131,2.117271296,0.031595,0.763429342,1206,1,235,0,0,0.031595,7,0,3,16,2,193,41122,4.6934,1,11700000,99.22,232.21,0,0,9.762,1.54829
142,Argun,142,Chechnya,,,,,4793746.43,570113.82,,154,156,2.193124598,15,35,37,1.568201724,0.037512,0.758204375,3716,1,107,1,0,0.037512,8,0,3,8,1,367,23102,15.8861,1,5470000,97.26,115.32,0,0,4.615,2.76607
143,Shali,143,Chechnya,,,,,4777167.73,572839.82,,462,464,2.666517981,46,128,130,2.113943352,0.206139,0.350212473,2209,1,213,0,0,0.206139,8,0,3,10,4,238,29011,8.2038,1,10730000,97.99,224.49,0,0,8.017,2.10582
